"","city","year","month","sales","volume","mean_price","median_price","listings","months_inventory","ads_efficiency"
"1","Beaumont",2010,1,83,14.162,170627,163800,1533,9.5,0.05
"2","Beaumont",2010,2,108,17.69,163796,138200,1586,10,0.07
"3","Beaumont",2010,3,182,28.701,157698,122400,1689,10.6,0.11
"4","Beaumont",2010,4,200,26.819,134095,123200,1708,10.6,0.12
"5","Beaumont",2010,5,202,28.833,142738,123100,1771,10.9,0.11
"6","Beaumont",2010,6,189,27.219,144016,122800,1803,11.1,0.1
"7","Beaumont",2010,7,164,22.706,138451,124300,1857,11.7,0.09
"8","Beaumont",2010,8,174,25.237,145040,136800,1830,11.6,0.1
"9","Beaumont",2010,9,124,17.233,138976,121100,1829,11.7,0.07
"10","Beaumont",2010,10,150,23.904,159360,138500,1779,11.5,0.08
"11","Beaumont",2010,11,150,18.107,120713,150700,1742,11.2,0.09
"12","Beaumont",2010,12,148,21.235,143480,132500,1646,10.5,0.09
"13","Beaumont",2011,1,108,16.2,150000,130700,1677,10.6,0.06
"14","Beaumont",2011,2,108,16.187,149880,116700,1691,10.7,0.06
"15","Beaumont",2011,3,146,22.183,151938,120000,1762,11.3,0.08
"16","Beaumont",2011,4,166,24.087,145102,130000,1767,11.6,0.09
"17","Beaumont",2011,5,143,19.684,137650,120700,1832,12.4,0.08
"18","Beaumont",2011,6,177,25.86,146102,131200,1845,12.6,0.1
"19","Beaumont",2011,7,163,28.48,174724,132800,1822,12.4,0.09
"20","Beaumont",2011,8,160,24.921,155756,144600,1789,12.3,0.09
"21","Beaumont",2011,9,127,16.908,133134,123800,1785,12.3,0.07
"22","Beaumont",2011,10,155,22.564,145574,132100,1722,11.8,0.09
"23","Beaumont",2011,11,124,15.489,124911,111100,1687,11.7,0.07
"24","Beaumont",2011,12,151,20.58,136291,114000,1596,11.1,0.09
"25","Beaumont",2012,1,110,13.496,122691,110000,1647,11.4,0.07
"26","Beaumont",2012,2,135,17.212,127496,117500,1666,11.4,0.08
"27","Beaumont",2012,3,175,25.359,144909,129600,1730,11.6,0.1
"28","Beaumont",2012,4,176,24.956,141795,126200,1735,11.6,0.1
"29","Beaumont",2012,5,197,30.159,153091,134100,1765,11.4,0.11
"30","Beaumont",2012,6,173,25.281,146133,130800,1724,11.2,0.1
"31","Beaumont",2012,7,182,25.981,142753,127000,1749,11.3,0.1
"32","Beaumont",2012,8,218,31.146,142872,133600,1683,10.5,0.13
"33","Beaumont",2012,9,182,24.052,132154,118800,1704,10.3,0.11
"34","Beaumont",2012,10,193,27.35,141710,121800,1671,9.9,0.12
"35","Beaumont",2012,11,162,22.906,141395,134300,1652,9.7,0.1
"36","Beaumont",2012,12,160,25.714,160712,134700,1570,9.1,0.1
"37","Beaumont",2013,1,159,23.029,144836,126100,1581,9,0.1
"38","Beaumont",2013,2,140,20.342,145300,130000,1620,9.2,0.09
"39","Beaumont",2013,3,170,25.551,150300,121200,1567,8.9,0.11
"40","Beaumont",2013,4,198,29.433,148652,131400,1696,9.5,0.12
"41","Beaumont",2013,5,246,37.28,151545,134200,1659,9.1,0.15
"42","Beaumont",2013,6,232,36.275,156358,134100,1675,9,0.14
"43","Beaumont",2013,7,206,30.818,149602,128200,1708,9,0.12
"44","Beaumont",2013,8,273,42.028,153949,135000,1675,8.7,0.16
"45","Beaumont",2013,9,213,34.359,161310,147000,1681,8.6,0.13
"46","Beaumont",2013,10,188,25.686,136628,121100,1655,8.5,0.11
"47","Beaumont",2013,11,177,26.371,148989,140500,1624,8.3,0.11
"48","Beaumont",2013,12,212,32.538,153481,140000,1534,7.6,0.14
"49","Beaumont",2014,1,148,18.077,122142,106700,1575,7.9,0.09
"50","Beaumont",2014,2,186,27.164,146043,132500,1636,8,0.11
"51","Beaumont",2014,3,182,26.344,144747,129100,1539,7.5,0.12
"52","Beaumont",2014,4,208,30.181,145101,138300,1604,7.8,0.13
"53","Beaumont",2014,5,246,36.739,149346,134500,1620,7.9,0.15
"54","Beaumont",2014,6,254,38.189,150350,134500,1672,8,0.15
"55","Beaumont",2014,7,212,34.861,164439,142200,1657,8,0.13
"56","Beaumont",2014,8,262,41.191,157218,142400,1617,7.8,0.16
"57","Beaumont",2014,9,224,35.335,157746,128100,1501,7.2,0.15
"58","Beaumont",2014,10,260,40.923,157396,140600,1575,7.4,0.17
"59","Beaumont",2014,11,180,24.925,138472,124300,1544,7.2,0.12
"60","Beaumont",2014,12,202,31.656,156713,133800,1500,7,0.13
"61","Bryan-College Station",2010,1,89,15.151,170236,151900,1298,7.1,0.07
"62","Bryan-College Station",2010,2,107,19.686,183981,165300,1439,7.8,0.07
"63","Bryan-College Station",2010,3,176,29.117,165438,148300,1577,8.5,0.11
"64","Bryan-College Station",2010,4,233,38.691,166056,151000,1984,10.5,0.12
"65","Bryan-College Station",2010,5,282,45.53,161454,150200,1613,8.4,0.17
"66","Bryan-College Station",2010,6,286,47.453,165920,151700,1588,8.4,0.18
"67","Bryan-College Station",2010,7,189,30.773,162820,152200,1646,9.1,0.11
"68","Bryan-College Station",2010,8,196,34.057,173760,148500,1599,9.1,0.12
"69","Bryan-College Station",2010,9,122,22.983,188385,149300,1549,8.8,0.08
"70","Bryan-College Station",2010,10,100,17.568,175680,161400,1530,8.9,0.07
"71","Bryan-College Station",2010,11,101,20.301,201000,159300,1510,9,0.07
"72","Bryan-College Station",2010,12,130,23.464,180492,153300,1416,8.4,0.09
"73","Bryan-College Station",2011,1,94,15.242,162149,147700,1480,8.8,0.06
"74","Bryan-College Station",2011,2,101,16.125,159653,148500,1562,9.3,0.06
"75","Bryan-College Station",2011,3,162,26.891,165994,152100,1723,10.4,0.09
"76","Bryan-College Station",2011,4,186,31.684,170344,151200,1833,11.3,0.1
"77","Bryan-College Station",2011,5,238,40.306,169353,148900,1840,11.6,0.13
"78","Bryan-College Station",2011,6,284,47.776,168225,149400,1758,11.1,0.16
"79","Bryan-College Station",2011,7,244,42.941,175988,148700,1662,10.2,0.15
